ID,CardColor,Text,How many cards are picked?
1,0,Flying sex snakes.,0
2,0,Michelle Obama's arms.,0
3,0,German dungeon porn.,0
4,0,White people.,0
5,0,Getting so angry that you pop a boner.,0
6,0,Tasteful sideboob.,0
7,0,Praying the gay away.,0
8,0,Two midgets shitting into a bucket.,0
9,0,Mechahitler.,0
10,0,Being a motherfucking sorcerer.,0
11,0,A disappointing birthday party.,0
12,0,Puppies!,0
13,0,A windmill full of corpses.,0
14,0,Guys who don't call.,0
15,0,Radially-biased SAT questions.,0
16,0,Dying.,0
17,0,Steven Hawking talking dirty.,0
18,0,Being on fire.,0
19,0,A lifetime of sadness.,0
20,0,An erection that lasts longer than four hours.,0
21,0,AIDS,0
22,0,Same-sex ice dancing.,0
23,0,Glenn Beck catching his scrotum on a curtain hook.,0
24,0,The Rapture.,0
25,0,Pterodactyl eggs.,0
26,0,Crippling debt.,0
27,0,Eugenics.,0
28,0,Exchanging pleasantries.,0
29,0,Dying of dysentery.,0
30,0,Roofies.,0
31,0,Getting naked and watching Nickelodeon.,0
32,0,The forbidden fruit.,0
33,0,Republicans,0
34,0,The Big Bang.,0
35,0,Anal beads.,0
36,0,Amputees.,0
37,0,Men.,0
38,0,Surprise sex!,0
39,0,Kim Jong-il.,0
40,0,Concealing a boner,0
41,0,Agriculture.,0
42,0,Glenn Beck being harried by a swarm of buzzards.,0
43,0,Making a pouty face.,0
44,0,A salty surprise.,0
45,0,The Jews.,0
46,0,Charisma.,0
47,0,YOU MUST CONSTRUCT ADDITIONAL PYLONS.,0
48,0,Panda sex.,0
49,0,Taking off your shirt.,0
50,0,A drive-by shooting.,0
51,0,Ronald Reagan.,0
52,0,Morgan Freeman's voice.,0
53,0,Breaking out into song and dance.,0
54,0,Jewish fraternities.,0
55,0,Dead babies.,0
56,0,Masturbation.,0
57,0,Hormone injections.,0
58,0,All-you-can-eat shrimp for $4.99.,0
59,0,Incest.,0
60,0,Scalping.,0
61,0,Soup that is too hot.,0
62,0,The Übermensch.,0
63,0,Nazis.,0
64,0,Tom Cruise.,0
65,0,Stifling a giggle at the mention of Hutus and Tutsis.,0
66,0,Edible underpants.,0
67,0,The Hustle.,0
68,0,A Super Soaker™ full of cat pee.,0
69,0,Figgy pudding.,0
70,0,Object permanence.,0
71,0,Consultants.,0
72,0,Intelligent design.,0
73,0,Nocturnal emissions.,0
74,0,Uppercuts.,0
75,0,Being marginalized.,0
76,0,The profoundly handicapped.,0
77,0,Obesiity.,0
78,0,Chutzpah.,0
79,0,Unfathomable stupidity.,0
80,0,Repression.,0
81,0,Attitude.,0
82,0,Passable transvestites.,0
83,0,Party poopers.,0
84,0,The American Dream,0
85,0,Child beauty pageants.,0
86,0,Puberty.,0
87,0,Testicular torsion.,0
88,0,The folly of man.,0
89,0,Nickelback.,0
90,0,Swooping.,0
91,0,Goats eating cans.,0
92,0,The KKK.,0
93,0,Kamikaze pilots.,0
94,0,Horrifying laser hair removal accidents.,0
95,0,Adderall™.,0
96,0,A look-see.,0
97,0,Doing the right thing.,0
98,0,The taint; the grundle; the fleshy fun-bridge.,0
99,0,Lactation.,0
100,0,Pabst Blue Ribbon.,0
101,0,Powerful thighs.,0
102,0,Saxophone solos.,0
103,0,The gays.,0
104,0,A middle-aged man on roller skates.,0
105,0,A foul mouth.,0
106,0,The thing that electrocutes your abs.,0
107,0,Heteronormativity.,0
108,0,Cuddling.,0
109,0,Coat hanger abortions.,0
110,0,A big hoopla about nothing.,0
111,0,Boogers.,0
112,0,A hot mess.,0
113,0,Raptor attacks.,0
114,0,My collection of high-tech sex toys.,0
115,0,Fear itself.,0
116,0,Bees?,0
117,0,Getting drunk on mouthwash.,0
118,0,Sniffing glue.,0
119,0,Oversized lollipops.,0
120,0,An icepick lobotomy.,0
121,0,Being rich.,0
122,0,Friends with benefits.,0
123,0,Teaching a robot to love.,0
124,0,Women's suffrage.,0
125,0,Me time.,0
126,0,The heart of a child.,0
127,0,Smallpox blankets.,0
128,0,The clitoris.,0
129,0,John Wilkes Booth.,0
130,0,The glass ceiling.,0
131,0,Sarah Palin.,0
132,0,Sexy pillow fights.,0
133,0,Yeast.,0
134,0,Full frontal nudity.,0
135,0,Parting the Red Sea.,0
136,0,A Bop It™.,0
137,0,Michael Jackson.,0
138,0,Team-building exercises.,0
139,0,Harry Potter erotica.,0
140,0,Authentic Mexican cuisine.,0
141,0,Frolicking.,0
142,0,Sexting.,0
143,0,Grandma.,0
144,0,Not giving a shit about the Third World.,0
145,0,Licking things to claim them as your own.,0
146,0,Genghis Khan.,0
147,0,The hardworking Mexican.,0
148,0,RoboCop.,0
149,0,My relationship status.,0
150,0,Scrubbing under the folds.,0
151,0,Porn Stars.,0
152,0,Horse meat.,0
153,0,Sunshine and rainbows.,0
154,0,Expecting a burp and vomiting on the floor.,0
155,0,Barack Obama.,0
156,0,Spontaneous human combustion.,0
157,0,Natural selection.,0
158,0,Mouth herpes.,0
159,0,Flash flooding.,0
